ID	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	NOTE	DATASET
4742	bend	kashibo	pësinti	pësinti	p ɨ s i n + t i	3364	3066 767	p ɨ s i n + t i		None	blumpanotacana
4743	big	kashibo	rara	rara	ɾ a ɾ a	3365	3067	ɾ a ɾ a		None	blumpanotacana
4744	bitter	kashibo	muka	muka	m ɯ k a	1037	5119	m ɯ k a ( - - )		None	blumpanotacana
4745	black	kashibo	tunan	tunan	t ɯ n a n	1044	1096	t ɯ n a n		None	blumpanotacana
4746	blanket	kashibo	baita	baita	β a i t a	3366	3068	β a i t a		None	blumpanotacana
4747	blow (of wind)	kashibo	bëanti	bëanti	β ɨ a n + t i	3367	3069 767	β ɨ a n + t i		None	blumpanotacana
4748	blow (of wind)	kashibo	xunkati	xunkati	ʂ ɯ n + k a t i	3368	754 883	ʂ ɯ n ( - - - - ) + k a t i		None	blumpanotacana
4749	blue	kashibo	pasha	pasha	p a ʃ a	870	916	p a ʃ a ( - )		None	blumpanotacana
4750	body	kashibo	nami	nami	n a m i	108	117	n a m i		None	blumpanotacana
4751	bow	kashibo	kanti	kanti	k a + n t i	2737	838 2526	k a + n t i		None	blumpanotacana
4752	boy	kashibo	bërunan	bërunan	β ɨ ɾ ɯ + n a n	746	777 778	β ɨ ɾ ɯ + n a n		None	blumpanotacana
4753	brain	kashibo	maspui	maspui	m a + s p ɯ i	804	834 842	m a + s p ɯ ( i )		None	blumpanotacana
4754	break (destroy or get destroyed)	kashibo	báxkati	báxkati	β a ʂ + k a t i	3369	2312 883	β a ʂ - + k a t i		None	blumpanotacana
4755	break (destroy or get destroyed)	kashibo	puati	puati	p ɯ a + t i	3370	3070 767	p ɯ a + t i		None	blumpanotacana
4756	breast	kashibo	xuma	xuma	ʂ ɯ + m a	829	872 873	( - ) ʂ ɯ + m a		None	blumpanotacana
4757	bright	kashibo	ñánkë ñankëkwikë	ñánkë ñankëkwikë	ɲ a n k ɨ + ɲ a n k ɨ + kʷ i k ɨ	3371	3071 3072 3073	ɲ a n k ɨ + ɲ a n k ɨ + kʷ i k ɨ		None	blumpanotacana
4758	bring	kashibo	bëti	bëti	β ɨ + t i	3372	1019 767	β ɨ - - + t i		None	blumpanotacana
4759	butterfly	kashibo	pënpëxo	pënpëxo	p ɨ n p ɨ ʂ ɤ	786	820	p ɨ n p ɨ ʂ ɤ -		None	blumpanotacana
4760	buttocks	kashibo	chixu	chixu	tʃ i + ʂ ɯ	1199	1236 1237	tʃ i + ʂ ɯ		None	blumpanotacana
4761	buy	kashibo	maruti	maruti	m a ɾ ɯ + t i	1646	1619 767	m a ɾ ɯ + t i		None	blumpanotacana
4762	buy	kashibo	bits	bits	β i ts	3373	3075	β̞ i ( - - ts - )		None	blumpanotacana
4763	canoe	kashibo	nunti	nunti	n ɯ n t i	976	1026	n ɯ n t i		None	blumpanotacana
4764	canoe	kashibo	i xatu	i xatu	i + ʂ a t ɯ	3374	1163 3076	i + ʂ a - t ɯ		None	blumpanotacana
4765	carry	kashibo	buanti	buanti	β ɯ + a n + t i	971	1012 1022 767	( - ) β ɯ ( - - ) + a n + t i		None	blumpanotacana
4766	carry	kashibo	papi	papi	p a p i	3375	861	p a p i		None	blumpanotacana
4767	cat	kashibo	shunku	shunku	ʃ ɯ n k ɯ	3376	3077	ʃ ɯ n k ɯ		None	blumpanotacana
4768	center or middle	kashibo	nëbëtsi	nëbëtsi	n ɨ β ɨ + ts i	3377	3078 3079	n ɨ β ɨ + ts i		None	blumpanotacana
4769	center or middle	kashibo	napu	napu	n a p ɯ	999	1047	n a p ɯ -		None	blumpanotacana
4770	chair	kashibo	anu tsoti	anu tsoti	a n ɯ + ts ɤ + t i	3378	370 1038 860	a n ɯ + ts ɤ - - + t i		None	blumpanotacana
4771	charcoal	kashibo	tsisu	tsisu	ts i s ɯ	741	771	ts i s - ɯ		None	blumpanotacana
4772	cheek	kashibo	tamu	tamu	t a m ɯ	807	5409	t a m ɯ		None	blumpanotacana
4773	chest	kashibo	shikan	shikan	ʃ i k + a n	828	870 871	ʃ i k + a n		None	blumpanotacana
4774	chew	kashibo	nacháti	nacháti	n a tʃ a + t i	3379	3080 767	n a tʃ a + t i		None	blumpanotacana
4775	chew	kashibo	chakúkati	chakúkati	tʃ a k ɯ + k a t i	3380	923 883	tʃ a k ɯ + k a t i		None	blumpanotacana
4776	chicken	kashibo	'atoripa	'atoripa	ʔ a t ɤ ɾ i p a	3381	3081	ʔ a t ɤ ɾ i p a		None	blumpanotacana
4777	chicken	kashibo	'atapa	'atapa	ʔ a t a p a	1483	1507	ʔ a t a p a		None	blumpanotacana
4778	chieftain	kashibo	chana	chana	tʃ a n a	3382	3082	tʃ a n a		None	blumpanotacana
4779	chieftain	kashibo	'apu	'apu	ʔ a p ɯ	1099	1145	ʔ a p ɯ		None	blumpanotacana
4780	chili pepper	kashibo	sia	sia	s i a	2755	2542	s i a		None	blumpanotacana
4781	claw	kashibo	mëkën	mëkën	m ɨ + k ɨ n	819	154 157	m ɨ + k ɨ ( n )		None	blumpanotacana
4782	clean	kashibo	chuama	chuama	tʃ ɯ a + m a	3383	740 912	tʃ ɯ a + m a		None	blumpanotacana
4783	clean	kashibo	tërënkë	tërënkë	t ɨ ɾ ɨ + n k ɨ	3384	930 3083	t ɨ ɾ ɨ + n k ɨ		None	blumpanotacana
4784	clothes	kashibo	'apá	'apá	ʔ a p a	894	939	ʔ a p a		None	blumpanotacana
4785	clothes	kashibo	chupa	chupa	tʃ ɯ p a	893	938	tʃ ɯ p a		None	blumpanotacana
4786	cloud	kashibo	kuenkuru	kuenkuru	k ɯ e n + k ɯ ɾ ɯ	3385	764 760	k ɯ - e n + k ɯ ɾ ɯ		None	blumpanotacana
4787	cloud	kashibo	nëtë kuin	nëtë kuin	n ɨ t ɨ + k ɯ i n	3386	757 764	n ɨ t ɨ + k ɯ - i n		None	blumpanotacana
4788	cold	kashibo	barux	barux	β a ɾ ɯ ʂ	3387	3084	β a ɾ ɯ ʂ		None	blumpanotacana
4789	comb	kashibo	anun maëxëti	anun maëxëti	a n ɯ n + m a + ɨ ʂ ɨ + t i	3388	3085 912 954 860	a n ɯ n + m a + ɨ ʂ ɨ ( - ) + t i		None	blumpanotacana
4790	come	kashibo	uti	uti	ɯ + t i	3389	1014 3086	ɯ + t i )		None	blumpanotacana
4791	cook (something)	kashibo	pachioti	pachioti	p a tʃ i ɤ + t i	3390	3087 767	p a tʃ i.ɤ + t i		None	blumpanotacana
4792	cook (something)	kashibo	'aruti	'aruti	ʔ a ɾ ɯ + t i	3391	3088 767	ʔ a ɾ ɯ + t i		None	blumpanotacana
4793	cooking pot	kashibo	manë ñutë	manë ñutë	m a n ɨ + ɲ ɯ t ɨ	3392	927 926	m a n ɨ + ɲ ɯ t ɨ		None	blumpanotacana
4794	cotton	kashibo	xapu	xapu	ʂ a p ɯ	895	5355	ʂ a p ɯ		None	blumpanotacana
4795	cough	kashibo	'ukuti	'ukuti	ʔ ɯ k ɯ + t i	1528	4763 767	ʔ ɯ ( - ) k ɯ ( - ) + t i		None	blumpanotacana
4796	cover	kashibo	kuiti	kuiti	k ɯ i + t i	3393	3089 767	k ɯ i + t i		None	blumpanotacana
4797	cover	kashibo	rabunti	rabunti	ɾ a β ɯ n + t i	3394	3090 767	ɾ a β ɯ n + t i		None	blumpanotacana
4798	cover	kashibo	rakuti	rakuti	ɾ a k ɯ + t i	3395	3091 767	ɾ a k ɯ + t i		None	blumpanotacana
4799	crawl or creep	kashibo	chankëti	chankëti	tʃ a n k ɨ + t i	953	1002 767	tʃ a n k ɨ + t i		None	blumpanotacana
4800	crawl or creep	kashibo	mëxuti	mëxuti	m ɨ ʂ ɯ + t i	1615	1003 767	m ɨ ʂ ɯ + t i		None	blumpanotacana
4801	crooked	kashibo	tëntun	tëntun	t ɨ n t ɯ n	3396	3092	t ɨ n t ɯ n		None	blumpanotacana
4802	cry	kashibo	inti	inti	i n t i	3397	3093	i.n t i		None	blumpanotacana
4803	cry	kashibo	rarumati	rarumati	ɾ a ɾ ɯ m a + t i	3398	3094 767	ɾ a ɾ ɯ m a + t i		None	blumpanotacana
4804	cure	kashibo	móti	móti	m ɤ + t i	859	905 767	m ɤ + t i		None	blumpanotacana
4805	cure	kashibo	pëxkuti	pëxkuti	p ɨ ʂ k ɯ + t i	858	904 767	p ɨ ʂ k ɯ + t i		None	blumpanotacana
4806	cut	kashibo	chuishka	chuishka	tʃ ɯi ʃ + k a	3399	6786 836	tʃ ɯi ʃ - + k a		None	blumpanotacana
4807	cut	kashibo	tënka	tënka	t ɨ n + k a	3400	1311 836	- - t ɨ ( n ) + k a		None	blumpanotacana
4808	dawn	kashibo	pëkara	pëkara	p ɨ + k a ɾ a	3401	857 3096	p ɨ + k a ɾ a		None	blumpanotacana
4809	deep	kashibo	nëmin	nëmin	n ɨ m i n	1012	1060	n ɨ m i n		None	blumpanotacana
4810	deer	kashibo	chaxu	chaxu	tʃ a ʂ ɯ	773	806	tʃ a ʂ ɯ		None	blumpanotacana
4811	demon	kashibo	'utano	'utano	ʔ ɯ t a n ɤ	3402	3097	ʔ ɯ t a n ɤ		None	blumpanotacana
4812	demon	kashibo	ñushin	ñushin	ɲ ɯ ʃ i n	1111	1157	ɲ ɯ ʃ i n		None	blumpanotacana
4813	dive	kashibo	bëatsinti	bëatsinti	β ɨ a ts i n + t i	3403	3098 767	β ɨ a ts i n + t i		None	blumpanotacana
4814	dog	kashibo	'uchiti	'uchiti	ʔ ɯ tʃ i t i	1485	1509	ʔ ɯ tʃ i t i		None	blumpanotacana
4815	door	kashibo	xeputi	xeputi	ʂ e + p ɯ + t i	2692	145 1299 860	ʂ e - - + p ɯ + t i		None	blumpanotacana
4816	drink	kashibo	xëa	xëa	ʂ ɨ a	874	5361	( - ) ʂ ɨ - a ( - - )		None	blumpanotacana
4817	dry	kashibo	chushikë	chushikë	tʃ ɯ ʃ i + k ɨ	3404	2169 3099	tʃ ɯ ʃ i + k ɨ		None	blumpanotacana
4818	duck	kashibo	nëpaxta	nëpaxta	n ɨ p a ʂ t a	3405	3100	n ɨ p a ʂ t a		None	blumpanotacana
4819	duck	kashibo	nunun	nunun	n ɯ n ɯ n	520	578	n ɯ n ɯ n ( - )		None	blumpanotacana
4820	dust	kashibo	putu	putu	p ɯ t ɯ	1241	739	p ɯ t ɯ		None	blumpanotacana
4821	elbow	kashibo	banbuxu	banbuxu	β a n + β ɯ ʂ ɯ	818	153 858	β a - - ( n ) + β ɯ ʂ ɯ		None	blumpanotacana
4822	embrace	kashibo	no iku	no iku	n ɤ + i k ɯ	3406	3101 1119	n ɤ + - i k ɯ		None	blumpanotacana
4823	embrace	kashibo	'ikúti	'ikúti	ʔ i k ɯ + t i	1067	1119 767	ʔ i k ɯ + t i		None	blumpanotacana
4824	enemy	kashibo	no	no	n ɤ	3407	3102	n ɤ		None	blumpanotacana
4825	enter	kashibo	nërënkiti	nërënkiti	n ɨ ɾ ɨ n + k i t i	3354	3054 951	n ɨ ɾ ɨ n + k i t i		None	blumpanotacana
4826	eye	kashibo	bëru	bëru	β ɨ + ɾ ɯ	808	141 846	β ɨ + ɾ ɯ		None	blumpanotacana
4827	eyebrow	kashibo	bërani	bërani	β ɨ + ɾ a n i	1506	141 831	β ɨ + ɾ a n i		None	blumpanotacana
4828	eyelash	kashibo	bëxni	bëxni	β ɨ + ʂ n i	3408	141 1220	β ɨ + ʂ n i		None	blumpanotacana
4829	fall	kashibo	bëukuti	bëukuti	β ɨ ɯ k ɯ + t i	3409	3103 767	β ɨ ɯ k ɯ + t i		None	blumpanotacana
4830	fall	kashibo	rëukuti	rëukuti	ɾ ɨ ɯ k ɯ + t i	3409	3103 767	ɾ ɨ ɯ k ɯ + t i		None	blumpanotacana
4831	fan (action)	kashibo	taëkati	taëkati	t a ɨ + k a t i	3410	3104 883	t a - ɨ + k a t i		None	blumpanotacana
4832	far	kashibo	'ura	'ura	ʔ ɯ ɾ a	1002	1050	ʔ ɯ ɾ a		None	blumpanotacana
4833	fast	kashibo	bënët	bënët	β ɨ n ɨ t	3411	3105	β ɨ n ( ɨ t - )		None	blumpanotacana
4834	fast	kashibo	munuma	munuma	m ɯ n ɯ m a	3412	3106	m ɯ n ɯ m a		None	blumpanotacana
4835	few	kashibo	mërun	mërun	m ɨ ɾ ɯ n	3413	3107	m ɨ ɾ ɯ n		None	blumpanotacana
4836	fight	kashibo	mëananti	mëananti	m !ɨa/ɨ n a n + t i	3414	2032 767	m !ɨa/ɨ n a n + t i		None	blumpanotacana
4837	find	kashibo	mërati	mërati	m ɨ ɾ a + t i	1102	1148 767	m ɨ ɾ a + t i		None	blumpanotacana
4838	finger	kashibo	mëkën	mëkën	m ɨ + k ɨ n	819	154 157	m ɨ + k ɨ ( n )		None	blumpanotacana
4839	fingernail	kashibo	'untsis	'untsis	ʔ ɯ + n ts i s	822	5188 863	ʔ ɯ + n ts i s - ( - )		None	blumpanotacana
4840	finish	kashibo	këñu	këñu	k ɨ ɲ ɯ	1030	1081	k ɨ ɲ ɯ		None	blumpanotacana
4841	finish	kashibo	sënë	sënë	s ɨ n ɨ	3415	2426	s ɨ n ɨ		None	blumpanotacana
4842	finish	kashibo	këñoti	këñoti	k ɨ ɲ ɤ + t i	1707	1081 767	k ɨ ɲ ɤ + t i		None	blumpanotacana
4843	firewood	kashibo	karu	karu	k a ɾ ɯ	740	770	k a ɾ ɯ		None	blumpanotacana
4844	fish	kashibo	chon	chon	tʃ ɤ n	3416	3108	tʃ ɤ n		None	blumpanotacana
4845	fish	kashibo	tsatsa	tsatsa	ts a ts a	1160	1201	ts a ts a		None	blumpanotacana
4846	flat	kashibo	sapan	sapan	s a p a n	1013	1061	s a p a ( n )		None	blumpanotacana
4847	flat	kashibo	pará	pará	p a ɾ a	1687	1656	p a ɾ a		None	blumpanotacana
4848	flow	kashibo	shióbuti	shióbuti	ʃ i ɤ β ɯ + t i	3417	3109 767	ʃ i ɤ β ɯ + t i		None	blumpanotacana
4849	flower	kashibo	ua	ua	ɯ a	919	966	- ɯ ( - ) a		None	blumpanotacana
4850	fly (insect)	kashibo	samun	samun	s a m ɯ n	3418	3110	s a m ɯ n		None	blumpanotacana
4851	fly (move through air)	kashibo	nuanti	nuanti	n ɯ a n + t i	951	999 767	n ɯ - a n + t i		None	blumpanotacana
4852	follow	kashibo	nuibati	nuibati	n ɯ i β a + t i	3419	3111 767	n ɯ i β a + t i		None	blumpanotacana
4853	follow	kashibo	nuiti	nuiti	n ɯ i + t i	968	1018 767	n ɯ i + t i		None	blumpanotacana
4854	footprint	kashibo	xankën	xankën	ʂ a n k ɨ n	3420	3112	ʂ a n k ɨ n		None	blumpanotacana
4855	forehead	kashibo	bëmanan	bëmanan	β ɨ + m a n a n	805	141 843	β ɨ + m a n a n		None	blumpanotacana
4856	forget	kashibo	manuti	manuti	m a n ɯ + t i	1081	1132 767	m a n ɯ + t i		None	blumpanotacana
4857	friend	kashibo	nuibakë uni	nuibakë uni	n ɯ i + β a k ɨ + ɯ n i	3421	1018 49 772	n ɯ i + β a k ɨ + - ɯ n i		None	blumpanotacana
4858	friend	kashibo	xabai	xabai	ʂ a β a i	3422	3113	ʂ a β a i		None	blumpanotacana
4859	frog	kashibo	panú	panú	p a n ɯ	2822	2609	p a n ɯ		None	blumpanotacana
4860	full	kashibo	buakikë	buakikë	β ɯ a + k i k ɨ	3423	3114 3115	β ɯ a + k i k ɨ		None	blumpanotacana
4861	gather	kashibo	bukun	bukun	β ɯ k ɯ n	3424	3116	β ɯ k ɯ n		None	blumpanotacana
4862	girl	kashibo	xuntaku	xuntaku	ʂ ɯ n t a k ɯ	748	780	ʂ ɯ n t a k ɯ		None	blumpanotacana
4863	girl	kashibo	chipax	chipax	tʃ i p a ʂ	3425	3117	tʃ i p a ʂ		None	blumpanotacana
4864	go down (descend)	kashibo	'ibúti	'ibúti	ʔ i + β ɯ t i	962	1011 5713	ʔ i + - - - - - β ɯ t i -		None	blumpanotacana
4865	go out	kashibo	pëáskiti	pëáskiti	p ɨ a s + k i + t i	3427	3119 881 767	p ɨ a s + k i + t i		None	blumpanotacana
4866	go up (ascend)	kashibo	rónruti	rónruti	ɾ ɤ n + ɾ ɯ + t i	3428	1010 3120 767	ɾ ɤ n + ɾ ɯ + t i		None	blumpanotacana
4867	go up (ascend)	kashibo	'iru	'iru	ʔ i + ɾ ɯ	3429	1011 3120	ʔ i + ɾ ɯ		None	blumpanotacana
4868	good	kashibo	upí	upí	ɯ p i	1077	1128	ɯ p i		None	blumpanotacana
4869	good	kashibo	asábi	asábi	a s a β i	3430	3121	a s a β i		None	blumpanotacana
4870	green	kashibo	páxa	páxa	p a ʂ a	870	916	p a ʂ a ( - )		None	blumpanotacana
4871	grind	kashibo	musti	musti	m ɯ s + t i	3431	3122 767	m ɯ s + t i		None	blumpanotacana
4872	grind	kashibo	rënti	rënti	ɾ ɨ n + t i	886	932 767	ɾ ɨ n - + t i		None	blumpanotacana
4873	grow	kashibo	kani	kani	k a n i	1677	1051	k a n i		None	blumpanotacana
4874	hair (body)	kashibo	rani	rani	ɾ a n i	796	831	ɾ a n i		None	blumpanotacana
4875	hair (head)	kashibo	bu	bu	β ɯ	794	829	β ɯ		None	blumpanotacana
4876	hair (head)	kashibo	mamiskuñu	mamiskuñu	m a m i + s k ɯ ɲ ɯ	3432	3123 3124	m a m i + s k ɯ ɲ ɯ		None	blumpanotacana
4877	hard	kashibo	ñashi	ñashi	ɲ a ʃ i	852	898	ɲ a ʃ i		None	blumpanotacana
4878	hard	kashibo	xënxën	xënxën	ʂ ɨ n + ʂ ɨ n	3433	3125 3126	ʂ ɨ n + ʂ ɨ n		None	blumpanotacana
4879	hawk	kashibo	chuna tëtë́	chuna tëtë́	tʃ ɯ n a + t ɨ t ɨ	3434	3127 798	tʃ ɯ n a + t ɨ t ɨ		None	blumpanotacana
4880	heart	kashibo	nuitu	nuitu	n ɯ i t ɯ	831	875	n ɯ i - t ɯ		None	blumpanotacana
4881	heel	kashibo	taë chituxkun	taë chituxkun	t a ɨ + tʃ i + t ɯ ʂ k ɯ n	3435	866 1230 1787	t a - ɨ + tʃ i ( - ) + t ɯ ʂ k ɯ n		None	blumpanotacana
4882	heel	kashibo	taë tsiputu	taë tsiputu	t a ɨ + ts i + p ɯ t ɯ	826	866 867 868	t a - ɨ + ts i + p ɯ t ɯ		None	blumpanotacana
4883	help	kashibo	'akinti	'akinti	ʔ a k i n + t i	3436	3128 767	ʔ a k i n + t i		None	blumpanotacana
4884	hide (conceal)	kashibo	'unët	'unët	ʔ ɯ n ɨ + t	3437	1045 3129	ʔ ɯ n ɨ + t		None	blumpanotacana
4885	hide (conceal)	kashibo	xaká	xaká	ʂ a k a	1371	1405	ʂ a k a		None	blumpanotacana
4886	honey	kashibo	rëpa	rëpa	ɾ ɨ p a	890	935	ɾ ɨ p a		None	blumpanotacana
4887	horn (anatomy)	kashibo	manchan	manchan	m a + n tʃ a n	3438	834 3130	m a + n tʃ a n		None	blumpanotacana
4888	house	kashibo	mapunkë	mapunkë	m a p ɯ + n k ɨ	3439	765 3131	m a p ɯ + n k ɨ		None	blumpanotacana
4889	how	kashibo	uisa	uisa	w i s a	3440	3132	w i s a		None	blumpanotacana
4890	hunt	kashibo	ñu bariti	ñu bariti	ɲ ɯ + β a ɾ i + t i	3441	1152 1030 767	ɲ ɯ ( - ) + β a ɾ i + t i		None	blumpanotacana
4891	inside	kashibo	chichu	chichu	tʃ i tʃ ɯ	1650	1622	tʃ i tʃ ɯ		None	blumpanotacana
4892	inside	kashibo	mëú	mëú	m ɨ ɯ	3442	3008	m ɨ ɯ		None	blumpanotacana
4893	join	kashibo	rëchioti	rëchioti	ɾ ɨ tʃ iɤ + t i	993	1042 767	ɾ ɨ tʃ iɤ + t i		None	blumpanotacana
4894	join	kashibo	timëti	timëti	t i m ɨ + t i	3443	3133 767	t i m ɨ + t i		None	blumpanotacana
4895	jump	kashibo	chirinti	chirinti	tʃ i ɾ i n + t i	3444	1903 767	( - - - ) tʃ i ɾ i n + t i		None	blumpanotacana
4896	jump	kashibo	churunti	churunti	tʃ ɯ ɾ ɯ n + t i	1618	1903 767	( - - - ) tʃ ɯ ɾ ɯ n + t i		None	blumpanotacana
4897	kidney	kashibo	chitëxkë	chitëxkë	tʃ i t ɨ ʂ k ɨ	3445	3134	tʃ i t ɨ ʂ k ɨ		None	blumpanotacana
4898	kill	kashibo	kënkati	kënkati	k ɨ n + k a t i	3446	3135 883	k ɨ n + k a t i		None	blumpanotacana
4899	kill	kashibo	rëti	rëti	ɾ ɨ t i	850	896	ɾ ɨ t i		None	blumpanotacana
4900	knee	kashibo	ranbuxu	ranbuxu	ɾ a n + β ɯ ʂ ɯ	824	865 858	ɾ a n + β ɯ ʂ ɯ		None	blumpanotacana
4901	kneel	kashibo	rantipurunti	rantipurunti	ɾ a n + t i + p ɯ ɾ ɯ n + t i	3447	865 767 3136 1685	ɾ a n + t i + p ɯ ɾ ɯ n + t i		None	blumpanotacana
4902	know (something)	kashibo	'unánti	'unánti	ʔ ɯ n a n + t i	1080	1131 767	ʔ ɯ n a n + t i		None	blumpanotacana
4903	lake	kashibo	'ian	'ian	ʔ i a n	716	743	( ʔ ) i a n ( - )		None	blumpanotacana
4904	laugh	kashibo	rinti	rinti	ɾ i n + t i	3448	3137 767	ɾ i n + t i		None	blumpanotacana
4905	lazy	kashibo	chikish	chikish	tʃ i k i ʃ	1225	908	tʃ i k i ʃ		None	blumpanotacana
4906	leave	kashibo	chikiti	chikiti	tʃ i + k i t i	3449	1013 951	tʃ i + k i t i		None	blumpanotacana
4907	leave	kashibo	kuaínti	kuaínti	kʷ a i n + t i	959	1008 767	( - ) kʷ a ( - i n ) + t i		None	blumpanotacana
4908	left	kashibo	mëmiu	mëmiu	m ɨ + m i ɯ	2528	154 2353	m ɨ + m i - ɯ		None	blumpanotacana
4909	leg	kashibo	taë	taë	t a ɨ	825	866	t a - ɨ		None	blumpanotacana
4910	leg	kashibo	kisi	kisi	k i s i	147	159	k i s i		None	blumpanotacana
4911	lick	kashibo	biaxkati	biaxkati	β i a ʂ + k a t i	3450	3138 883	β i a ʂ + k a t i		None	blumpanotacana
4912	lie down	kashibo	narakati	narakati	n a + ɾ a k a + t i	3451	3139 1039 767	n a + ɾ a k a ( - ) + t i		None	blumpanotacana
4913	lie down	kashibo	rakáti	rakáti	ɾ a k a + t i	989	1039 767	ɾ a k a ( - ) + t i		None	blumpanotacana
4914	light (ignite)	kashibo	ërënti	ërënti	ɨ ɾ ɨ n + t i	738	768 767	ɨ ɾ ɨ n + t i		None	blumpanotacana
4915	light (ignite)	kashibo	rëkáruti	rëkáruti	ɾ ɨ k a + ɾ ɯ + t i	3452	3140 3141 767	ɾ ɨ k a + ɾ ɯ + t i		None	blumpanotacana
4916	light (weight)	kashibo	bëxbá	bëxbá	β ɨ ʂ β a	3453	3142	β ɨ ʂ β a		None	blumpanotacana
4917	light (weight)	kashibo	xatu	xatu	ʂ a t ɯ	1400	1434	ʂ a t ɯ		None	blumpanotacana
4918	lip	kashibo	kwëpa	kwëpa	kʷ ɨ + p a	3454	121 3143	kʷ ɨ + p a		None	blumpanotacana
4919	lizard	kashibo	apasgiru	apasgiru	a p a s g i ɾ ɯ	3455	3144	a p a s g i ɾ ɯ		None	blumpanotacana
4920	lizard	kashibo	ñunkë	ñunkë	ɲ ɯ n k ɨ	3456	3145	ɲ ɯ n k ɨ		None	blumpanotacana
4921	long	kashibo	nënkët	nënkët	n ɨ n k ɨ t	2547	2367	n ɨ n k ɨ t		None	blumpanotacana
4922	look	kashibo	ñachati	ñachati	ɲ a tʃ a + t i	3457	3146 767	ɲ a tʃ a + t i		None	blumpanotacana
4923	look for	kashibo	manti	manti	m a n + t i	3458	3147 767	m a n + t i		None	blumpanotacana
4924	look for	kashibo	bariti	bariti	β a ɾ i + t i	980	1030 767	β a ɾ i + t i		None	blumpanotacana
4925	love	kashibo	nuibati	nuibati	n ɯ i + β a + t i	3459	1018 3148 767	n ɯ i + β a + t i		None	blumpanotacana
4926	love	kashibo	kwënti	kwënti	kʷ ɨ n + t i	1065	1118 767	kʷ ɨ - n + t i		None	blumpanotacana
4927	male person	kashibo	nukë bënë	nukë bënë	n ɯ k ɨ + β ɨ n ɨ	744	774 775	n ɯ k ɨ + β ɨ n ɨ		None	blumpanotacana
4928	male person	kashibo	uni	uni	ɯ n i	742	772	- ɯ n i		None	blumpanotacana
4929	many	kashibo	mëruma	mëruma	m ɨ ɾ ɯ m a	3460	3149	m ɨ ɾ ɯ m a		None	blumpanotacana
4930	marry	kashibo	bënuti	bënuti	β ɨ n ɯ + t i	751	782 767	β ɨ ( - ) n ɯ + t i		None	blumpanotacana
4931	medicine	kashibo	ro	ro	ɾ ɤ	860	906	ɾ ɤ - -		None	blumpanotacana
4932	mighty or powerful or strong	kashibo	kushi	kushi	k ɯ ʃ i	853	899	k ɯ ʃ i		None	blumpanotacana
4933	milk	kashibo	xuma	xuma	ʂ ɯ m a	891	936	ʂ ɯ m a		None	blumpanotacana
4934	mix	kashibo	mëskuti	mëskuti	m ɨ s k ɯ + t i	3461	2360 767	m ɨ s k ɯ + t i		None	blumpanotacana
4935	mosquito	kashibo	sëbë	sëbë	s ɨ β ɨ	3462	3150	s ɨ β ɨ		None	blumpanotacana
4936	mosquito	kashibo	bi	bi	β i	781	815	β i - ( - )		None	blumpanotacana oliveiraprotopanoan
4937	move	kashibo	kaënti	kaënti	k a ɨ n + t i	885	931 767	k a ɨ n + t i		None	blumpanotacana
4938	move	kashibo	ránkati	ránkati	ɾ a n + k a t i	3463	865 883	ɾ a n + k a t i		None	blumpanotacana
4939	mud	kashibo	chua	chua	tʃ ɯ a	713	740	tʃ ɯ a		None	blumpanotacana
4940	mud	kashibo	mapú	mapú	m a p ɯ	1786	765	m a p ɯ		None	blumpanotacana
4941	mute	kashibo	banañuma	banañuma	β a n a + ɲ ɯ + m a	3464	69 3151 912	β a n a + ɲ ɯ + m a		None	blumpanotacana
4942	nasal mucus (snot)	kashibo	rëshi	rëshi	ɾ ɨ + ʃ i	539	594 595	ɾ ɨ + ʃ i		None	blumpanotacana
4943	navel	kashibo	nitú	nitú	n i t ɯ	830	874	n i t ɯ		None	blumpanotacana
4944	near	kashibo	'urama	'urama	ʔ ɯ ɾ a + m a	1351	1050 912	ʔ ɯ ɾ a + m a		None	blumpanotacana
4945	neck	kashibo	tëxá	tëxá	t ɨ + ʂ a	3465	853 125	t ɨ + ʂ a - - - ( - )		None	blumpanotacana
4946	necklace	kashibo	katin	katin	k a t i n	3466	3152	k a t i n		None	blumpanotacana
4947	needle (for sewing)	kashibo	xumux	xumux	ʂ ɯ m ɯ ʂ	900	945	ʂ ɯ m ɯ ʂ ( - )		None	blumpanotacana
4948	nest	kashibo	na	na	n a	764	796	n a - -		None	blumpanotacana oliveiraprotopanoan
4949	new	kashibo	'io	'io	ʔ i ɤ	1025	1075	ʔ i ɤ		None	blumpanotacana
4950	new	kashibo	bëná	bëná	β ɨ n a	1704	1408	β ɨ ( - ) n a		None	blumpanotacana
4951	no	kashibo	ama	ama	a m a	460	514	- a m a		None	blumpanotacana
4952	nose	kashibo	rëkin	rëkin	ɾ ɨ + k i n	812	594 1063	ɾ ɨ + k i n		None	blumpanotacana
4953	now	kashibo	bërí	bërí	β ɨ ɾ i	1027	1077	β ɨ ɾ i		None	blumpanotacana
4954	old	kashibo	bëráma	bëráma	β ɨ ɾ a m a	3203	2944	β ɨ ɾ a ( m a )		None	blumpanotacana
4955	old man	kashibo	ñusi	ñusi	ɲ ɯ s i	1471	1386	ɲ ɯ s i		None	blumpanotacana
